patron	frecuencia
---+----+++-	1
+----+++-+-	51
++-+---+-	1
---+-+-+++-	62
-----+---+-	691
--+---+++-+++-	1
-+-+-++-+-	2
------+---+-	2
+--++-+--+-	1
+--+++--++-	8
++-----+++-	1
++--++--++-	7
+-+-+-+--+-	9
++++++++++-	1
+-++-+++-+-	14
+++-+----+-	1
-++--+--++-	83
++---+-+-++-	1
-----+--+-+-+-	1
++++-+-+++-	2
+-++--+--++-	1
++-+++-+-+-	30
---+-+-	2
+--+-+++++-	4
+--+-+--++-	185
-++--++++-+-	1
-+-+---+--+-	3
--+-+-+--+-	20
--+--+---+-	5609
-+----+-+-+-	5
-+++---+++-	19
-----++---+-	1
-+-+----+-+-	8
-+-+-+-+--++-	1
----+-+-++-	1
--+++--+-+-	13
---+-+--+-+-	2
+--+-++-+-+---+-	1
-+++-++--+-	37
++-++-+-++-	1
--+-++-+++-	9
+----++---	1
-+--+-+++-+-	2
+++++-++++-+-	1
-+---+++-+-	198
--++----+-+-	1
+----++-++-	9
-+-++--+-+-	131
-+--+--+--+-	4
++--+++--+-	6
-------+++-	1
----++--++-	4
-++-+-+--+-	7
+--++---++-	1
++---+--+---+-	1
---++-++++-	1
+-+++-+-+-+-	1
+-+--+-+-+-	1155
-+--+-++--+-	1
-+++-+++-+-	15
+-----+--+-	7
+++--++--+-	23
++-++-+-+-+-	1
++--++++-+-	5
--++-+-+++-	14
---+++-+-+-	100
+---+--+-+-	13
++-+++--++-	7
---+--++-+-+-	1
++--+-+-+-+-	1
---+-+----+-+-	1
-++----+-+-	15
--+-+---+-+-	1
--------++-	1
+++---+--+-	1
---+-+-+-+-+-	1
-+-++--+++-	6
---+-++-	1
-+-+---+-++-	4
+++--+-+++-	9
-+---++-++-	31
+---++--++-	5
-+---+++++-	4
+--+-+-+-++-	1
--+--+-+++-	85
+-+------+-	12
-+-++----+-	11
----+++--+-	7
+-+-+-+---+-	2
-+++--+-+-+-	1
--++-+--++-	36
--+--++-+-+-	1
--++--+--+-	7
+-+--+---+-	2105
-+----+--+-	20
--+--++--+-	867
-++-+----+-	5
----++++-+-	1
---++-++-+-	1
++-++----+-	3
-+--+--+-+-	39
---+++--++-	13
+++-+-+---+-	2
+-+---+-+-+-	4
+---+---++-	1
----+---++-	4
--+--+----++-	1
-+-+-+-	1
+-+--+---+--	1
+++--+++-+-	21
--+--+----+-+-	1
+-+-+-++-+-	2
-----+-+-	1
++-++--+-+-	25
-+-+-++-++-	28
--+---+--+-	49
---+---+++-	84
-+++----++-	2
---+-++-++-	20
-+--+++-++-	4
-+--++--++-	35
-+-+-+-+-+-	3134
-++------+-	3
+-+---+-+-	3
-+-+-+--+---+-	1
+--++--+-+-	87
--+++-+--+-	2
--+---+-+-	2
--+---+-+-+-	4
+---++-+-+-	33
++---+++--	1
+--+-+--+-+-+-	2
-++-+++-++-	1
+-----++-+-	6
-++--+---+-	1185
+++-++-+-+-	12
--+--+-	2
+--+-+--+-+---+-	1
--+---+---+-	10
-+-++++--+-	14
+-+---+-	1
--+--+++-+-	164
-++-+-++-+-	3
+-+-++--+-	1
+-+---+--+-	28
+--+-+--+-+-	1
+-+-+-+-+-+-	3
--++--+-+-+-	1
-++--+-+-+-	714
-+-+--+--+-	99
+++--++-+-+-	1
--+----+-	2
-+---+-+-	1
-++--+-	2
+---+-+--+-	18
-+-+---+-	1
+-++-+--++-	21
-+--++-+++-	5
+++--+--++-	20
--++---+++-	14
--++++--++-	3
+-+----+-	1
++--++---+-	64
-+----++-+-	6
---+-+++-+-	105
+-+-+---++-	2
++++++++-+-	2
-+----+-+-	2
--+-++-+-+-	153
+--++-+---+-	1
-+-+++-+-+-	103
----+-+-+-+-	2
++-----+-+-	6
+-+-++-+-+-+-	1
-++---+--+-	12
--++----++-	2
+-+----+-+-	17
+-+----+++-	1
+-+-----+-+-	1
++-------+-	4
+++-+-+-+-+-	2
+-+---+-++-	2
+++--++-++-	5
+--+-+---+-	2889
+-+++-+-++-	1
-+-+-+-+-++-	2
--+-+-++--+-	2
-+--+-+--+-	29
-+++-+--++-	18
--+--+--++-	344
+++-+---+-+-	1
-++-+-+---+-	1
+-+-+++-++-+-	1
--+--+++--	1
-++-+-+-+-	1
+----+--++-	58
----++---+-	50
-++-+--+-+-	5
-+-----+-+-	54
+--+---+-+-	2958
--++++++-+-	1
++-+---+-+-	631
+----++--+-	235
--+-++--++-	21
++++++-+-+-	2
--+-+-+---+-	4
++---+--++-	62
+--+-++---+-	1
+--++--+++-	7
+-+--+-+--+-	1
-+---+--+-	5
-------+-+-	3
-++-+---+-+-	1
+-++--++-+-	10
----+-+-+-	2
++-++++-++-	2
++-+----+-+-	1
+++++--+++-	1
++-+-++--++-	1
-++----+++-	2
++-++-++-+-	1
++++-++--+-	5
+----+-+++-	20
--+----+++-	4
---------+-	2
++---++--+-	137
---++-+--+-	6
-+--++-+-++-	2
--+-+-+-+-	1
--+--++-++-	40
-+-+-+---+-	4643
--+--+-+--	1
--+-----+-	1
---++++--+-	12
-+++-+-+--+-	1
-++--+-++-+-	1
-+---+--++-	333
-+-+--+-	1
-++++----+-	1
-++-+---++-	1
+--------+-	2
+--+++---+-	112
--++--+-	2
-+-+---+-+-	5718
-+-+-+--++-	321
---+---+-+-	2954
-+---++--+-	950
-+-+-+++++-	8
++-+----++-	7
-++-+--+++-	1
-+++---+--+-	1
+--+--+---+-	8
--+-+-+++-+-	1
-++--+-+--+-	1
++-+-++--+-	101
-+--+--+-	1
++---+++-+-	45
+----+--+-+-	1
+--+-----+-	104
-+++--++-+-	14
+-++-+-+++-	10
-++-++-+-+-	41
-----+-+++-	19
-+-+-+--+-+-	1
--+++--+++-	1
--+-+-++-+-	2
----+---+-	1
--+--+--+-+-	2
++----+-+-+-	1
-+---+-+++-	101
+-+--+--+-+-	3
-----++--+-	203
---+++---+-	169
--+--++---	1
-+-+++++-+-	2
---+-+-+-	1
+-+-++---+-	121
-++--+-+--	1
++-+++---+-	49
--+--+---++-	1
++-+--+-+-+-	2
++++--+-+-+-	1
+-+++--+---+-	1
---++--+-	1
-+-+++--++-	10
++++++---+-	1
+--+---+--++-	1
-+-------+-	10
--+++-+---+-	3
+-+-+----+-	17
---++--+-+-	91
+--+---+-	1
---+----++-	6
+---+---+-+-	3
++++-+--++-	5
++-+--+---+-	1
-----+-++-	1
--+-+--+-	1
-++--++-++-	13
++++---+-+-	32
-+-+-----+-	162
